,FirstRow,SecondRow,ThirdRow,Original,FirstKeyPhrase,SecondKeyPhrase,KeyEmotion,Number
728,i only female,i answer to is crystal,like if she's my girl,i only female i answer to is crystal like if she's my girl, , , ,729
729,i keep complaining,about getting fat and i,just keep eating hays,i keep complaining about getting fat and i just keep eating hays, , , ,730
730,i don't ever want,to hold you back i only,want to lift you up,i don't ever want to hold you back i only want to lift you up, , , ,731
731,well i waited for,a week and i still don't feel,any different,well i waited for a week and i still don't feel any different, , , ,732
732,a hoe never gets,cold but a hoe can get a,cold i am that hoe,a hoe never gets cold but a hoe can get a cold i am that hoe, , , ,733
733,i'm doing it just,know that if it goes wrong this,time i'm blaming you,i'm doing it just know that if it goes wrong this time i'm blaming you, , , ,734
734,now your baby is,dancing but she's dancing with,with another man,now your baby is dancing but she's dancing with with another man, , , ,735
735,i'm so excited,to see my fave hamilton,alum in movies,i'm so excited to see my fave hamilton alum in movies, , , ,736
736,i'm a renegade,and a sinner you're a blue,bird in the winter,i'm a renegade and a sinner you're a blue bird in the winter, , , ,737
737,those innocent eyes,that smile on your face makes it,easy to trust you,those innocent eyes that smile on your face makes it easy to trust you, , , ,738
738,i should probably,shave off this ugly ass beard,i got going on,i should probably shave off this ugly ass beard i got going on, , , ,739
739,the fire will make,the holy rain feel like trucks,in the atmosphere,the fire will make the holy rain feel like trucks in the atmosphere, , , ,740
740,literally find,a way to do what you love,and get paid for it,literally find a way to do what you love and get paid for it, , , ,741
741,can't believe i get,to see robbie eagles in,new japan tonight,can't believe i get to see robbie eagles in new japan tonight, , , ,742
742,i'm going to watch,baby don't stop now i hope,i'll make it alive,i'm going to watch baby don't stop now i hope i'll make it alive, , , ,743
743,big money and big,booty bitches that shit will,be the death of me,big money and big booty bitches that shit will be the death of me, , , ,744
744,his whole career is,based off him photo shopping,his highschool photo,his whole career is based off him photo shopping his highschool photo, , , ,745
745,taking your ex back,is like trying to put poop,back into your butt,taking your ex back is like trying to put poop back into your butt, , , ,746
746,i just want someone,who appreciates pictures,as much as i do,i just want someone who appreciates pictures as much as i do, , , ,747
747,really wish i was,in philly to go to the,parade tomorrow,really wish i was in philly to go to the parade tomorrow, , , ,748
748,sweating so i just,saw the money video,it was pretty good,sweating so i just saw the money video it was pretty good, , , ,749
749,i'm sick and tired,of being the miss goody,two shoes all the time,i'm sick and tired of being the miss goody two shoes all the time, , , ,750
750,my doctor says i,can start on t blockers next,month so yay for that,my doctor says i can start on t blockers next month so yay for that, , , ,751
751,okay maybe i,can afford one if i put,it on layaway,okay maybe i can afford one if i put it on layaway, , , ,752
752,democrat party,is the party of crime and,alienation,democrat party is the party of crime and alienation, , , ,753
753,only victors are,allowed to live this world is,merciless like that,only victors are allowed to live this world is merciless like that, , , ,754
754,you're a person with,an incredible vibe keep,doing the good work,you're a person with an incredible vibe keep doing the good work, , , ,755
755,man black mirror needs,to come out already where,are you new season,man black mirror needs to come out already where are you new season, , , ,756
756,the complex houses,married and single soldiers,and their families,the complex houses married and single soldiers and their families, , , ,757
757,if i never sell,a record or a song in,da trap i went gold,if i never sell a record or a song in da trap i went gold, , , ,758
758,final limited,late model heat now lucas,oil b mains are next,final limited late model heat now lucas oil b mains are next, , , ,759
759,when you put people,on email blast now it'll,seem like you're wicked,when you put people on email blast now it'll seem like you're wicked, , , ,760
760,i pray everyday,it's the miracle we are,all waiting to hear,i pray everyday it's the miracle we are all waiting to hear, , , ,761
761,start chain smoking now,so by the time the draft starts,you won't qualify,start chain smoking now so by the time the draft starts you won't qualify, , , ,762
762,love running into,songs that were hits years ago,but still bop today,love running into songs that were hits years ago but still bop today, , , ,763
763,stupid bank what is,unity when you hold on,to people's money,stupid bank what is unity when you hold on to people's money, , , ,764
764,well guess the season,is pretty much over hope,he gets better though,well guess the season is pretty much over hope he gets better though, , , ,765
765,obviously mark,is mommy and the baby,looks like its daddy,obviously mark is mommy and the baby looks like its daddy, , , ,766
766,gospel music house,shoes these weights another home,workout represent,gospel music house shoes these weights another home workout represent, , , ,767
767,i really just now,remembered an appointment,i missed yesterday,i really just now remembered an appointment i missed yesterday, , , ,768
768,and the satin slick,fabric will be slippery,for trump's baby hands,and the satin slick fabric will be slippery for trump's baby hands, , , ,769
769,perspective is an,amazing thing that pen goes,in different game,perspective is an amazing thing that pen goes in different game, , , ,770
770,go tiger go get,the cup all the very best,for the final round,go tiger go get the cup all the very best for the final round, , , ,771
771,something is off with,me lately because i'm so,hungry all the time,something is off with me lately because i'm so hungry all the time, , , ,772
772,perfect i have no,idea what os this one,is i'll look for it,perfect i have no idea what os this one is i'll look for it, , , ,773
